;Alin hyväksytty pistemäärä;Ylin hyväksytty pistemäärä
Sustainable and Autonomous Systems, Master’s Programme in Sustainable and Autonomous Systems (SAS), Master of Science (Technology) (2 y);25,00;35,00
Sustainable Marketing, Master's Programme in Marketing, Master of Science (Economics and Business Administration) (2 y);8,00;15,00
Terveystieteet, terveystieteiden tutkinto-ohjelma, terveystieteiden kandidaatti ja maisteri (3v + 2v);17,75;123,30
Tietojenkäsittelytiede, Tietojenkäsittelytieteiden tutkinto-ohjelma, luonnontieteiden kandidaatti ja filosofian maisteri (3 v + 2 v);19,92;108,40
Tietotekniikka, Tietotekniikan tutkinto-ohjelma, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;9,50;105,00
Tuotantotalous, Tuotantotalouden tutkinto-ohjelma, tekniikan kandidaatti ja diplomi-insinööri (3v+2v), DIA-yhteisvalinta;24,50;99,50
Varhaiskasvatus, Varhaiskasvatuksen opettaja, kasvatustieteen kandidaatti (3 v), Valtakunnallinen monimuotokoulutus;49,00;68,00
Varhaiskasvatus, Varhaiskasvatuksen opettaja, kasvatustieteen kandidaatti (3 v), Yhteistyökoulutus Kajaanin ja Iisalmen kanssa (OPETOP);74,50;83,00
Varhaiskasvatus, Varhaiskasvatuksen tutkinto-ohjelma, kasvatustieteen kandidaatti ja maisteri (3v+2v);55,00;106,00
Wireless Communications Engineering, Master's Programme in Electronics and Communications Engineering, Master of Science (Technology) (2 y);25,00;37,12
Ympäristötekniikka, Ympäristötekniikan tutkinto-ohjelma, tekniikan kandidaatti ja diplomi-insinööri (3 v + 2 v), DIA-yhteisvalinta;13,00;105,00
Satakunnan ammattikorkeakoulu;;
Fysioterapeutti (AMK), Fysioterapia, päivätoteutus, Pori;115,00;373,99
Geronomi (AMK), vanhustyö, monimuotototeutus, Pori;37,67;91,67
Hyvinvointipalveluiden kehittäminen ja johtaminen (ylempi AMK), Pori;59,00;83,00
Hyvinvointiteknologia (ylempi AMK), Pori;58,30;92,20
Insinööri (AMK), Energia- ja ympäristötekniikka, päivätoteutus, Pori;45,00;272,43
Insinööri (AMK), konetekniikka, monimuotototeutus, Pori;94,00;96,00
Insinööri (AMK), Konetekniikka, päivätoteutus, Pori;43,00;266,90
Insinööri (AMK), Logistiikka, päivätoteutus, Rauma;53,00;312,25
Insinööri (AMK), merenkulku, päivätoteutus, Rauma;39,00;335,22
Insinööri (AMK), Prosessi- ja materiaalitekniikka, päivätoteutus, Pori;36,00;341,34
Insinööri (AMK), Rakennus- ja yhdyskuntatekniikka, monimuotototeutus, Pori;68,50;94,50
Insinööri (AMK), Rakennus- ja yhdyskuntatekniikka, päivätoteutus, Pori;43,00;289,75
Insinööri (AMK), Sähkö- ja automaatiotekniikka, päivätoteutus, Pori;91,00;287,15
Insinööri (AMK), tieto- ja viestintätekniikka, monimuotototeutus, Pori;88,80;100,00
Insinööri (AMK), Tuotantotalous, verkkototeutus, Rauma;71,00;90,00
Insinööri (AMK), Tuotantotekniikka ja tuotantotalous /elintarviketuotanto, monimuotototeutus, Rauma;63,00;90,00
Insinööri (AMK), Tuotantotekniikka ja tuotantotalous, päivätoteutus, Rauma;70,00;275,81
Insinööri (ylempi AMK), Tekniikka, Pori;51,94;84,03
Kuntoutuksen ohjaaja (AMK), monimuotototeutus, Pori;37,75;90,00
Kuvataiteilija (AMK), Kuvataide, päivätoteutus, Kankaanpää;56,00;94,00
Merikapteeni (AMK), merenkulku, päivätoteutus, Rauma;98,94;569,70
Restonomi (AMK), Matkailuliiketoiminta, päivätoteutus, Pori;41,00;167,64
Sairaanhoitaja (AMK), monimuotototeutus, Pori;66,17;96,25
Sairaanhoitaja (AMK), monimuotototeutus, Rauma;48,17;94,17
Sairaanhoitaja (AMK), päivätoteutus, Pori;28,00;394,71
Sosiaali- ja terveysala (ylempi AMK), Hyvinvoinnin ja terveyden edistäminen, Pori;39,61;91,83
Sosiaali- ja terveysala (ylempi AMK), Sosiaaliala, Pori;48,00;84,00
Sosiaali- ja terveysala (ylempi amk), Vanhustyö, Pori;49,00;96,00
Sosionomi (AMK), monimuotototeutus, Pori;74,02;92,90
Sosionomi (AMK), Sosiaaliala, päivätoteutus, Pori;90,00;372,72
Toimitusverkoston kehittäminen (ylempi AMK), Rauma;54,88;80,43
Tradenomi (AMK), Liiketalous, päivätoteutus, Pori;75,00;212,11
Tradenomi (AMK), Liiketalous, päivätoteutus, Rauma;78,00;200,81
Tradenomi (AMK), Liiketalous, verkkototeutus, Huittinen;72,63;97,34
Tradenomi (AMK), Liiketalous, verkkototeutus, Rauma;69,17;87,32
Tradenomi (AMK), Liiketalous, yrittäjän koulutusohjelma, verkkototeutus, Pori;77,00;100,00
Tradenomi (AMK), Tietojenkäsittely, päivätoteutus, Pori;69,00;266,43
Tradenomi (ylempi amk), Tulevaisuuden johtaminen, Pori;70,55;86,17
Savonia-ammattikorkeakoulu;;
Agrologi (AMK), monimuotototeutus;55,29;77,73
Agrologi (AMK), päivätoteutus;26,00;149,00
Bachelor of Business Administration, International Business,  päivätoteutus;35,75;1 480,00
Bachelor of Engineering, Industrial Management, päivätoteutus;21,25;1 260,00
Bachelor of Engineering, Information Technology (Internet of Things), päivätoteutus;53,55;1 410,00
Bachelor of Engineering, Mechanical Engineering, päivätoteutus;20,00;1 420,00
Bachelor of Health Care, Registered Nurse, päivätoteutus;76,75;1 310,00
Bachelor of Hospitality Management, Tourism and Hospitality,  päivätoteutus;32,55;1 110,00
Bioanalyytikko (AMK), päivätoteutus;107,00;374,54
Bioanalyytikko/Röntgenhoitaja (Ylempi AMK), kliininen asiantuntija, verkkototeutus;73,00;86,00
Ensihoitaja (AMK), päivätoteutus;128,00;428,99
Fysioterapeutti (AMK), monimuotototeutus;76,44;87,94
Fysioterapeutti (AMK), päivätoteutus;124,00;389,65
Insinööri (AMK), energiatekniikka, monimuotototeutus;69,00;100,00
Insinööri (AMK), energiatekniikka, päivätoteutus;12,00;177,17
Insinööri (AMK), konetekniikka, päivätoteutus;34,00;305,92
Insinööri (AMK), Rakennustekniikka, päivätoteutus;42,00;212,60
Insinööri (AMK), sähkö- ja automaatiotekniikka, monimuotototeutus;66,61;100,00
Insinööri (AMK), sähkö- ja automaatiotekniikka, päivätoteutus;46,00;297,85
Insinööri (AMK), Tietotekniikka, päivätoteutus;75,00;351,23
Insinööri (AMK), ympäristötekniikka, päivätoteutus;78,00;288,10
Insinööri (ylempi AMK), digitalisaation asiantuntija sosiaali- ja terveysalalla, verkkototeutus;56,00;75,00
Insinööri (ylempi AMK), innovaatiotoiminnan asiantuntija, verkkototeutus;35,00;53,00
Insinööri (ylempi AMK), Kehittyneet sähköenergiajärjestelmät, verkkototeutus;52,00;100,00
Insinööri (ylempi AMK), teknologiaosaamisen johtaminen, monimuotototeutus;42,00;82,00
Kätilö (AMK), päivätoteutus;104,00;408,30
Muotoilija (AMK), palvelumuotoilu, monimuotototeutus;53,00;87,00
Muotoilija (AMK), päivätoteutus;52,00;91,00
Muotoilija (ylempi AMK), innovaatiotoiminnan asiantuntija, verkkototeutus;45,00;59,00
Musiikkipedagogi (AMK), päivätoteutus;58,00;96,50
Rakennusarkkitehti (AMK), päivätoteutus;171,00;581,29
Rakennusmestari (AMK), Infrarakentaminen, monimuotototeutus;60,74;87,37
Rakennusmestari (AMK), talonrakennus, monimuotototeutus;65,61;85,65
Restonomi (AMK), hyvinvointimatkailun kehittäminen, päivätoteutus;40,00;153,26
Röntgenhoitaja (AMK), päivätoteutus;91,00;405,10
Sairaanhoitaja (AMK), monimuotototeutus lähihoitajille, Kuopio;74,13;90,63
Sairaanhoitaja (AMK), monimuotototeutus, Iisalmi;53,67;96,83
Sairaanhoitaja (AMK), monimuotototeutus, Kuopio;74,64;90,58
Sairaanhoitaja (AMK), päivätoteutus;94,00;331,39
Sosiaali- ja terveysala (ylempi AMK), Digital Health, verkkototeutus;47,00;82,00
Sosiaali- ja terveysala (ylempi AMK), digitalisaation asiantuntija sosiaali- ja terveysalalla, verkkototeutus;71,00;94,00
Sosiaali- ja terveysala (ylempi AMK), hyvinvointikoordinaattori, monimuotototeutus;55,00;93,00
Sosiaali- ja terveysala (ylempi AMK), kliininen asiantuntija, omahoidon tukeminen ja kansansairauksien hoitotyö, monimuotototeutus;45,00;100,00
Sosiaali- ja terveysala (ylempi AMK), mielenterveys- ja päihdetyön kehittäjä, verkkototeutus;65,00;91,00
Sosiaali- ja terveysala (ylempi AMK), sosiaali- ja terveysalan kehittäminen ja johtaminen, monimuotototeutus;68,00;94,00
Sosionomi (AMK), monimuotototeutus lähihoitajille ja ohjaajille, Kuopio;89,83;95,06
Sosionomi (AMK), päivätoteutus;53,00;320,47
Sosionomi (AMK), rikosseuraamusala, verkkototeutus;86,36;95,06
Sosionomi (AMK), verkkototeutus;84,89;91,00
Suuhygienisti (AMK), päivätoteutus;102,00;362,79
Tanssinopettaja (AMK), päivätoteutus;61,50;96,00
Terveydenhoitaja (AMK), päivätoteutus;85,00;394,30
Tradenomi (AMK), liiketalous, päivätoteutus;99,00;252,74
Tradenomi (AMK), liiketalous, verkkototeutus;72,38;91,92
Tradenomi (AMK), tietojenkäsittely, verkkototeutus;58,43;92,85
Tradenomi (AMK), Wellness-liiketoiminta, päivätoteutus;98,00;214,18
Tradenomi (AMK), Wellness-liiketoiminta, verkkototeutus;62,69;85,01
Tradenomi (ylempi AMK), Digital Health, verkkototeutus;62,50;77,00
Tradenomi (ylempi AMK), digitalisaation asiantuntija sosiaali- ja terveysalalla, verkkototeutus;39,00;82,00
Tradenomi (ylempi AMK), innovaatiotoiminnan asiantuntija, verkkototeutus;50,00;57,00
Tradenomi (ylempi AMK), liiketoiminnan kehittäminen, verkkototeutus;76,00;94,00
Ylempi AMK, kestävän tulevaisuuden asiantuntija, verkkototeutus;72,00;93,00
Seinäjoen ammattikorkeakoulu;;
Agrologi (AMK), monimuotototeutus;36,00;201,44
Agrologi (AMK), päivätoteutus;41,00;168,13
Agrologi (ylempi AMK), Ruokaketjun kehittäminen, verkkopainotteinen monimuotototeutus;30,00;70,00
Bachelor of Business Administration, International Business, päivätoteutus;11,50;135,00
Bachelor of Engineering, Agri-Food Engineering, päivätoteutus;12,10;43,60
Bachelor of Engineering, Automation Engineering, päivätoteutus;17,60;172,00
Bachelor of Health Care, Nursing, monimuotototeutus;34,00;139,00
Fysioterapeutti (AMK), päivätoteutus;103,00;399,98
Geronomi (AMK), verkkopainotteinen monimuotototeutus;86,00;342,60
Insinööri (AMK), Automaatiotekniikka, monimuotototeutus;52,00;383,78
Insinööri (AMK), Automaatiotekniikka, päivätoteutus;37,00;258,31
Insinööri (AMK), Bio- ja elintarviketekniikka, monimuotototeutus;61,00;300,57
Insinööri (AMK), Bio- ja elintarviketekniikka, päivätoteutus;30,00;237,43
Insinööri (AMK), konetekniikka, päivätoteutus;63,00;287,14
Insinööri (AMK), Rakennustekniikka, päivätoteutus;45,00;322,26
Insinööri (AMK), Tietotekniikka, päivätoteutus;103,00;379,46
Insinööri (ylempi AMK), Rakentaminen, verkkopainotteinen monimuotototeutus;32,00;85,00
Insinööri (ylempi AMK), Ruokaketjun kehittäminen, verkkopainotteinen monimuotototeutus;30,00;70,00
Insinööri (ylempi AMK), Teknologiaosaamisen johtaminen, verkkopainotteinen monimuotototeutus;33,00;81,00
Kulttuurituottaja (AMK), päivätoteutus;53,00;93,00
Master of Business Administration, International Business Management;50,00;98,00
Rakennusmestari (AMK), Rakennustekniikka, monimuotototeutus;53,00;329,93
Rakennusmestari (AMK), Rakennustekniikka, päivätoteutus;31,00;243,31
Restonomi (AMK), päivätoteutus;44,00;145,66
Restonomi (AMK), verkkopainotteinen monimuotototeutus;50,00;208,13
Restonomi (ylempi AMK), Ruokaketjun kehittäminen, verkkopainotteinen monimuotototeutus;30,00;80,00
Sairaanhoitaja (AMK), monimuotototeutus;59,00;358,87
Sairaanhoitaja (AMK), päivätoteutus;36,00;400,29
Sairaanhoitaja (AMK), verkkopainotteinen monimuotototeutus;58,00;294,50
Sosiaali- ja terveysala ylempi AMK, Sosiaaliala, verkkopainotteinen monimuotototeutus;36,00;74,00
Sosiaali- ja terveysala, ylempi AMK, Kliininen asiantuntijuus, verkkopainotteinen monimuotototeutus;61,00;100,00
Sosionomi (AMK), monimuotototeutus;92,00;364,60
Sosionomi (AMK), päivätoteutus;75,00;397,26
Terveydenhoitaja (AMK), Monimuotototeutus;111,00;385,72
Tradenomi (AMK), Kirjasto- ja tietopalveluala, päivätoteutus;59,00;235,00
Tradenomi (AMK), liiketalous, päivätoteutus;60,00;231,75
Tradenomi (AMK), Liiketalous, verkkopainotteinen monimuotototeutus;111,00;260,47
Tradenomi (AMK), Pk-yrittäjyys, verkkopainotteinen monimuotototeutus;93,00;225,55
Svenska handelshögskolan;;
Accounting, Master of Science (Economics and Business Administration) (2 yrs);3,68;4,65
Business, Bachelor and Master of Science (in Economics and Business Administration) (3 + 2 yrs);103,20;1 560,00
Economics, Master of Science (Economics and Business Administration) (2 yrs);3,00;4,33
Ekonomi, ekonomie kandidat och ekonomie magister (3 år + 2 år), Helsingfors;17,00;140,20
Ekonomi, ekonomie kandidat och ekonomie magister (3 år + 2 år), Vasa;13,92;117,30
Entreprenörskap och företagsledning, ekonomie magister (2 år);4,12;4,23
Finance, Master of Science (Economics and Business Administration) (2 yrs);3,04;4,17
Finansiell ekonomi, ekonomie magister (2 år);4,08;4,66
Företagsledning och organisation, ekonomie magister (2 år);3,66;4,66
Governance and Commercial Law, Master of Science (Economics and Business Administration) (2 yrs);3,90;4,27
Handelsrätt, ekonomie magister (2 år);3,00;4,82
Humanitarian Logistics, Master of Science (Economics and Business Administration) (2 yrs);4,10;5,00
Intellectual Property Law, Master of Science (Economics and Business Administration) (2 yrs);3,67;4,27
International Strategy and Sustainability, Master of Science (Economics and Business Administration) (2 yrs);3,27;4,33
Logistik och samhällsansvar, ekonomie magister (2 år);3,86;4,90
Marketing and Management, Master of Science (Economics and Business Administration) (2 yrs);3,00;4,67
Marketing, Master of Science (Economics and Business Administration) (2 yrs);4,32;5,00
Marknadsföring, ekonomie magister (2 år);3,98;4,74
Nationalekonomi, ekonomie magister (2 år);3,33;4,67
Redovisning, ekonomie magister (2 år);3,01;4,00
Taideyliopisto;;
Dramaturgia ja näytelmän kirjoittaminen, teatteritaiteen kandidaatti ja maisteri (3 v + 2 v);?;?
Global Music, Bachelor and Master of Music (3 yr + 2.5 yr);?;?
Jazzmusiikki / instrumentti- tai lauluopinnot, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Jazzmusiikki / sävellys, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Kansanmusiikki, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Kirjoittaminen, taiteen kandidaatti (3 v);?;?
Kirkkomusiikki, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / alttoviulu, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / harmonikka, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / harppu, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / kitara, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / kontrabasso, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / lyömäsoittimet, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / piano, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / puupuhallin (huilu, oboe, klarinetti, fagotti tai saksofoni), musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / sello, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / urut, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / vanha musiikki, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / vaskipuhallin (käyrätorvi, trumpetti, pasuuna, bassopasuuna, baritonitorvi tai tuuba), musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin instrumenttiopinnot / viulu, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Klassisen musiikin lauluopinnot / laulutaide, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Kuoronjohto, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Kuvataiteen kandidaatti ja maisteri (3,5 + 2 vuotta);?;?
Lavastustaide, taiteen kandidaatti ja maisteri (3 v + 2 v);?;?
Magisterantagning: skådespelarkonst, magister i teaterkonst (2 år);?;?
Maisterihaku: dramaturgia ja näytelmän kirjoittaminen, teatteritaiteen maisteri (2 v);?;?
Maisterihaku: Kansanmusiikki, musiikin maisteri (2,5 v);?;?
Maisterihaku: Kirkkomusiikki, musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / alttoviulu, musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / harmonikka, musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / kitara, musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / piano, musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / puupuhallin (huilu, oboe, klarinetti, fagotti tai saksofoni), musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / sello, musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / urut, musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / vanha musiikki, musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / vaskipuhallin (käyrätorvi, trumpetti, pasuuna, bassopasuuna, baritonitorvi tai tuuba), musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin instrumenttiopinnot / viulu, musiikin maisteri (2,5 v);?;?
Maisterihaku: Klassisen musiikin lauluopinnot / laulutaide, musiikin maisteri (2,5 v);?;?
Maisterihaku: Kuoronjohto, musiikin maisteri (2,5 v);?;?
Maisterihaku: Musiikinteoria, musiikin maisteri (2,5 v);?;?
Maisterihaku: Musiikkikasvatus, musiikin maisteri (2,5 v);?;?
Maisterihaku: ohjaus, teatteritaiteen maisteri (2 v);?;?
Maisterihaku: Orkesterinjohto, musiikin maisteri (2,5 v);?;?
Maisterihaku: Puhallinorkesterinjohto, musiikin maisteri (2,5 v);?;?
Maisterihaku: Sävellys, musiikin maisteri (2,5 v);?;?
Maisterihaku: tanssinopettaja, tanssitaiteen maisteri (2 v);?;?
Maisterihaku: teatteriopettaja, teatteritaiteen maisteri (2 v);?;?
Maisterihaku: valosuunnittelu, teatteritaiteen maisteri (2 v);?;?
Maisterihaku: äänisuunnittelu, teatteritaiteen maisteri (2 v);?;?
Master's Admission: Arts Management, Society and Creative Entrepreneurship, Master of Arts (2 yr);?;?
Master's Admission: Global Music, Master of Music (2.5 yr);?;?
Musiikinteoria, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Musiikkikasvatus, musiikin kandidaatti ja maisteri (3 v + 2,5 v);?;?
Nykytaiteen historian ja teorian kandidaattiohjelma (3 v);?;?
